strategy,trades,win_rate,profit_factor,expectancy,total_return,annualized_return,sharpe,max_drawdown,turnover,stability,score,eligible,eligibility_reasons,folds,parameter_stability
ml_ranker,251,0.42231075697211157,0.6986687899680659,-0.002439503955486637,-0.11619890342588468,-0.021017451122887443,-1.8340321688003334,-0.20847706426729717,104.5,0.0,-0.1027149264811151,False,stability<0.34;non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return,6,0.3333333333333333
hybrid,2159,0.3895321908290875,0.5745895119329671,-0.0032767731221235853,-0.8099667928414486,-0.257080209579966,-2.8740611399549154,-0.8233157994725072,777.1,0.002881844380403458,-0.2921124747472057,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,6,0.5
regime,5837,0.3700531094740449,0.5782943461965595,-0.00334522993206226,-0.9461330720796212,-0.36506226974901224,-5.21623973962751,-0.9473895705792496,1713.7999999999997,0.02023809523809524,-0.32002750427448445,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.5714285714285714
gap,8307,0.3699289755627784,0.5902842826951755,-0.003443577800094816,-0.9961389817228333,-0.5631137653273185,-4.755547443155127,-0.9961431067969527,3157.7999999999993,0.0,-0.3378592317324865,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.8571428571428571
sector_relative,10167,0.3806432575981115,0.5792041639690269,-0.0036412591197325468,-0.9974454008241138,-0.5891936534490481,-4.950365954359544,-0.997438001584721,3266.0999999999995,0.018105009052504527,-0.3389778602489759,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.5714285714285714
momentum,9774,0.3750767341927563,0.577813412584955,-0.003547034828787012,-0.9973373097656227,-0.5866488000853163,-5.148940767443363,-0.997329597447127,3155.8999999999996,0.0031269543464665416,-0.3399900853030055,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.5714285714285714
mean_reversion,8306,0.3737057548759933,0.5706464271257577,-0.003554353845583887,-0.9968370650387679,-0.575906680531943,-4.5313791291093155,-0.9968926904510356,3157.7999999999993,0.00125,-0.3404759163306946,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.8571428571428571
closing_strength,11908,0.3592542828350689,0.5456112416228599,-0.0037040091728320346,-0.9974397808382316,-0.5890591013887709,-5.619374361142903,-0.9974295070002094,3157.8,0.0,-0.34419465259279,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.5714285714285714
volume,10467,0.3645743766122098,0.5544545470400034,-0.0037671993967855217,-0.9978452349693254,-0.5994828642164289,-5.494760086337179,-0.9978386170642377,3157.7999999999997,0.0,-0.3448081278426098,False,non_positive_expectancy;profit_factor<=1;non_positive_sharpe;non_positive_oos_return;max_drawdown<=-50pct,7,0.42857142857142855
