date,symbol,cluster,side,next_open_return,next_close_return,cluster_confidence,weight,net_return,weighted_return
2017-05-03,TATASTEEL_5MINUTE,0,1,0.014672400708322764,0.0035416139640780386,-1.55171987060392,0.095,0.0025416139640780386,0.00024145332658741367
2017-05-03,SOLARINDS_5MINUTE,0,1,-0.006664957703153118,-0.00025634452704437205,-1.7486206005327354,0.095,-0.001256344527044372,-0.00011935273006921535
2017-05-03,TCS_5MINUTE,6,-1,0.00521858157241839,-0.0033364701856446466,-1.7624161466972803,0.095,0.0023364701856446466,0.00022196466763624144
2017-05-03,TMPV_5MINUTE,0,1,0.0014655593551538004,-0.02019215111545347,-1.765874769478119,0.095,-0.021192151115453473,-0.00201325435596808
2017-05-03,GODREJCP_5MINUTE,6,-1,-0.0005788281211237534,-0.008401276729455565,-1.7863719600108412,0.095,0.0074012767294555646,0.0007031212892982786
2017-05-03,TORNTPHARM_5MINUTE,0,1,0.0015637798793655122,-0.006701913768709544,-1.8341871180012232,0.095,-0.007701913768709544,-0.0007316818080274067
2017-05-03,TATAPOWER_5MINUTE,0,1,-0.0024330900243308973,0.01338199513381988,-1.8806464681280064,0.095,0.012381995133819879,0.0011762895377128884
2017-05-03,POWERGRID_5MINUTE,6,-1,0.0013026487190619385,0.0,-1.9243174684028497,0.095,-0.001,-9.5e-05
2017-05-03,JINDALSTEL_5MINUTE,0,1,0.009782125389061758,0.003112494441974256,-2.0044577999195705,0.095,0.002112494441974256,0.00020068697198755435
2017-05-03,PNB_5MINUTE,6,-1,0.02146175104368786,0.028576468512965247,-2.0414128993483827,0.095,-0.029576468512965248,-0.0028097645087316984
2017-05-04,ADANIPORTS_5MINUTE,6,-1,0.0020670308578178975,0.016388601801269775,-0.9862032320932689,0.095,-0.017388601801269776,-0.0016519171711206287
2017-05-04,HINDALCO_5MINUTE,0,1,-0.004420176807072407,-0.03380135205408219,-1.195375354355765,0.095,-0.03480135205408219,-0.0033061284451378083
2017-05-04,HCLTECH_5MINUTE,0,1,0.006251532238293667,0.014954645746506623,-1.4379801119208602,0.095,0.013954645746506622,0.0013256913459181291
2017-05-04,AXISBANK_5MINUTE,6,-1,0.007722007722007707,-0.028185328185328262,-1.4486812440217134,0.095,0.02718532818532826,0.002582606177606185
2017-05-04,GRASIM_5MINUTE,6,-1,0.004159041756779169,-0.01077191815005829,-1.7995120725786822,0.095,0.00977191815005829,0.0009283322242555376
2017-05-04,BAJAJHLDNG_5MINUTE,6,-1,0.0036393910561369758,-0.02473834443387246,-1.814666853813568,0.095,0.02373834443387246,0.002255142721217884
2017-05-04,TMPV_5MINUTE,0,1,-0.0009971746717634122,-0.0388898121987703,-1.9023594645088013,0.095,-0.0398898121987703,-0.0037895321588831787
2017-05-04,SIEMENS_5MINUTE,6,-1,-0.0006201402471021078,-0.022468158183466258,-2.0123750555480115,0.095,0.021468158183466257,0.0020394750274292943
2017-05-04,VEDL_5MINUTE,0,1,-0.014153371075656174,-0.04348944930519827,-2.0822936904565665,0.095,-0.04448944930519827,-0.004226497683993836
2017-05-04,TITAN_5MINUTE,6,-1,0.0,-0.012197580645161299,-2.135104534443097,0.095,0.011197580645161298,0.0010637701612903232
2017-05-05,TATACONSUM_5MINUTE,0,1,0.004986702127659504,0.0013297872340425343,-1.178159780709678,0.095,0.0003297872340425343,3.132978723404076e-05
2017-05-05,MUTHOOTFIN_5MINUTE,0,1,0.0016677357280308058,0.012572161642078195,-1.2415156593126015,0.095,0.011572161642078194,0.0010993553559974284
2017-05-05,BAJAJHLDNG_5MINUTE,0,1,0.02195121951219514,0.013609756097560988,-1.259084091236591,0.095,0.012609756097560987,0.0011979268292682938
2017-05-05,SHRIRAMFIN_5MINUTE,0,1,0.0035787321063396327,-0.00664621676891608,-1.3166406558012111,0.095,-0.00764621676891608,-0.0007263905930470277
2017-05-05,TATASTEEL_5MINUTE,0,1,0.00489690721649505,-0.0038659793814432852,-1.3875735910442974,0.095,-0.004865979381443285,-0.0004622680412371121
2017-05-05,AXISBANK_5MINUTE,0,1,0.011025029797377961,0.01410409217322206,-1.5372809456735175,0.095,0.01310409217322206,0.0012448887564560957
2017-05-05,BAJAJFINSV_5MINUTE,0,1,0.012172923777019395,0.0031854379977245273,-1.5524554041519434,0.095,0.0021854379977245273,0.0002076166097838301
2017-05-05,GAIL_5MINUTE,0,1,0.008094981111710808,0.0024824608742577414,-1.5625587373244865,0.095,0.0014824608742577414,0.00014083378305448544
2017-05-05,TITAN_5MINUTE,0,1,0.0008164098377385631,-0.012144096336360821,-1.6412324155161835,0.095,-0.013144096336360822,-0.001248689151954278
