signal_date,symbol,entry,exit,return,reason,score,weight,weighted_return,fold,strategy
2019-12-12,DIVISLAB_10YR_DAILY,1759.212250053967,1765.4088461914064,0.0019223698204973618,close,0.8173469387755101,0.19,0.00036525026589449876,1,momentum
2019-12-12,ICICIBANK_10YR_DAILY,516.1588544649447,514.8280895080567,-0.0041782081337489825,close,0.8255102040816326,0.19,-0.0007938595454123066,1,momentum
2019-12-12,KOTAKBANK_10YR_DAILY,341.39350781034267,336.3921750946045,-0.016249759299220744,close,0.9693877551020409,0.19,-0.0030874542668519415,1,momentum
2019-12-12,TATACONSUM_10YR_DAILY,306.9151109798448,310.5367926025391,0.010200271453340504,close,0.8979591836734694,0.19,0.0019380515761346958,1,momentum
2019-12-12,TATASTEEL_10YR_DAILY,35.39162595461519,35.20422517204285,-0.0068950599899722615,close,0.9214285714285715,0.19,-0.0013100613980947297,1,momentum
2019-12-13,AXISBANK_10YR_DAILY,748.9191031766746,743.1976732788087,-0.009239583332295197,close,0.9040816326530613,0.19,-0.0017555208331360875,1,momentum
2019-12-13,DIVISLAB_10YR_DAILY,1764.2969362735112,1783.283327331543,0.00916144874917384,close,0.8357142857142857,0.19,0.0017406752623430296,1,momentum
2019-12-13,HINDALCO_10YR_DAILY,200.68540824922727,197.2866070327759,-0.0185359658288184,close,0.936734693877551,0.19,-0.0035218335074754963,1,momentum
2019-12-13,TATACONSUM_10YR_DAILY,311.747674068004,305.046436126709,-0.023095711111009675,close,0.8775510204081632,0.19,-0.004388185111091838,1,momentum
2019-12-13,TATASTEEL_10YR_DAILY,35.535575839840206,34.59611949539185,-0.02803706545470137,close,0.8520408163265306,0.19,-0.005327042436393261,1,momentum
2019-12-16,BAJAJFINSV_10YR_DAILY,925.2503398222734,932.287346282959,0.006005516213090358,close,0.883673469387755,0.19,0.001141048080487168,1,momentum
2019-12-16,DIVISLAB_10YR_DAILY,1786.3625578989593,1768.6673479614258,-0.011505721466948903,close,0.9,0.19,-0.0021860870787202918,1,momentum
2019-12-16,HDFCLIFE_10YR_DAILY,584.3884787924285,584.2457558898926,-0.0018442260717233636,close,0.8887755102040816,0.19,-0.0003504029536274391,1,momentum
2019-12-16,ICICIBANK_10YR_DAILY,519.0855253309975,518.7584353637695,-0.002230127312872708,close,0.8540816326530613,0.19,-0.0004237241894458145,1,momentum
2019-12-16,TECHM_10YR_DAILY,598.01871795375,598.8075631408692,-0.00028090218008820366,close,0.8244897959183672,0.19,-5.337141421675869e-05,1,momentum
2019-12-17,BAJAJFINSV_10YR_DAILY,933.5440919060815,932.3720207214355,-0.0028555070454709492,close,0.8010204081632653,0.19,-0.0005425463386394804,1,momentum
2019-12-17,HDFCLIFE_10YR_DAILY,588.1687997342153,590.0332659606934,0.0015699509176967843,close,0.8051020408163265,0.19,0.000298290674362389,1,momentum
2019-12-17,HINDALCO_10YR_DAILY,205.03359698258072,203.9694364318848,-0.006790176470377894,close,0.9612244897959185,0.19,-0.0012901335293717998,1,momentum
2019-12-17,TATASTEEL_10YR_DAILY,36.14428718484914,36.547802772521976,0.009564021180143146,close,0.9693877551020408,0.19,0.0018171640242271977,1,momentum
2019-12-17,TCS_10YR_DAILY,1837.4348487079326,1830.321197998047,-0.005471511806194272,close,0.896938775510204,0.19,-0.0010395872431769118,1,momentum
2019-12-18,HDFCLIFE_10YR_DAILY,591.1145603653578,593.7117846679688,0.0027937748733609007,close,0.8857142857142857,0.19,0.0005308172259385712,1,momentum
2019-12-18,HINDALCO_10YR_DAILY,202.97893918699043,206.49935980224612,0.01574377285326416,close,0.8642857142857143,0.19,0.0029913168421201904,1,momentum
2019-12-18,JSWSTEEL_10YR_DAILY,245.34864134846063,246.5463123931885,0.003281506733215746,close,0.9153061224489796,0.19,0.0006234862793109918,1,momentum
2019-12-18,KOTAKBANK_10YR_DAILY,343.1341044269137,343.69534541320803,3.5631605991782956e-05,close,0.7591836734693878,0.19,6.7700051384387616e-06,1,momentum
2019-12-18,TATASTEEL_10YR_DAILY,36.19364463244549,36.71215689468384,0.012726058276361796,close,0.8744897959183673,0.19,0.0024179510725087414,1,momentum
2019-12-19,ASIANPAINT_10YR_DAILY,1702.6760056958522,1695.6025802612305,-0.00575429912147669,close,0.8153061224489796,0.19,-0.001093316833080571,1,momentum
2019-12-19,HINDALCO_10YR_DAILY,206.70596950277093,205.7356122283936,-0.006294384379471561,close,0.9551020408163264,0.19,-0.0011959330320995966,1,momentum
2019-12-19,RELIANCE_10YR_DAILY,719.5097985640276,711.7140333251954,-0.012434828454582169,close,0.7887755102040817,0.19,-0.002362617406370612,1,momentum
2019-12-19,TATASTEEL_10YR_DAILY,36.68719172231962,37.88316381072998,0.030999172415880506,close,0.9326530612244899,0.19,0.005889842759017296,1,momentum
2019-12-19,TCS_10YR_DAILY,1876.313028774416,1876.8861607055665,-0.001294543542382741,close,0.9448979591836735,0.19,-0.00024596327305272076,1,momentum
