method,period,monthly_return
gap_ml,2017-04,-0.000255154464283984
gap_ml,2017-05,0.0013364121193719554
gap_ml,2017-06,0.0022032544113616327
gap_ml,2017-07,0.000677390928188686
gap_ml,2017-08,0.0056410919516805885
gap_ml,2017-09,-0.005299559837379185
gap_ml,2017-10,0.0020741651491274203
gap_ml,2017-11,-0.006146497471648445
gap_ml,2017-12,0.003922003732795899
gap_ml,2018-01,-0.0011223634803998236
gap_ml,2018-02,7.828443970286784e-05
gap_ml,2018-03,-0.0005440342363587721
gap_ml,2018-04,0.0014954537666611253
gap_ml,2018-05,0.001595828728365892
gap_ml,2018-06,-9.531881426735797e-05
gap_ml,2018-07,0.0017591001569070975
gap_ml,2018-08,0.0003001667823697299
gap_ml,2018-09,-0.0020095885250533585
gap_ml,2018-10,-0.0025892835112240617
gap_ml,2018-11,0.0016108624132987579
gap_ml,2018-12,-0.001476075243916094
gap_ml,2019-01,-0.003046500907998678
gap_ml,2019-02,0.0023162656419562053
gap_ml,2019-03,0.00040151763984997503
gap_ml,2019-04,0.0026536738464531637
gap_ml,2019-05,-0.006091284456104992
gap_ml,2019-06,0.0002879736674845345
gap_ml,2019-07,0.0010360744863863334
gap_ml,2019-08,0.002843551122602261
gap_ml,2019-09,0.0018887703497809359
gap_ml,2019-10,-0.00018100141316353802
gap_ml,2019-11,-0.0013293859328699158
gap_ml,2019-12,-0.0010722565709162756
gap_ml,2020-01,0.001124711834751877
gap_ml,2020-02,0.0027383809354676746
gap_ml,2020-03,-0.0021470603033893047
gap_ml,2020-04,0.0002313154069499415
gap_ml,2020-05,-0.0013898356375597388
gap_ml,2020-06,0.00045786703746651355
gap_ml,2020-07,0.0009498188442723513
gap_ml,2020-08,1.4076900279685455e-05
gap_ml,2020-09,-0.000999554348336559
gap_ml,2020-10,-0.00028186380979977697
gap_ml,2020-11,-0.000174435292525554
gap_ml,2020-12,0.0020364742732781275
gap_ml,2021-01,0.0011237765601419278
gap_ml,2021-02,0.0025135404086130326
gap_ml,2021-03,0.00039175395316862183
gap_ml,2021-04,0.00059870897238863
gap_ml,2021-05,0.0018850052186175016
gap_ml,2021-06,0.000385756151461083
gap_ml,2021-07,-0.00010933709263144268
gap_ml,2021-08,-0.000362780347289043
gap_ml,2021-09,-0.0005026487710647763
gap_ml,2021-10,-0.0019475
gap_ml,2021-11,0.0003687102909501215
gap_ml,2021-12,-1.9949694428110943e-05
gap_ml,2022-01,0.0025581768686047763
gap_ml,2022-02,0.0009357470304065332
gap_ml,2022-03,-0.002476093926020797
gap_ml,2022-04,0.0003140949179710685
gap_ml,2022-05,-0.003733277842853675
gap_ml,2022-06,0.000311264665687008
gap_ml,2022-07,0.0010166797265042998
gap_ml,2022-08,0.0010779997415739004
gap_ml,2022-09,0.0011571445890115014
gap_ml,2022-10,-0.001886165036206397
gap_ml,2022-11,0.0013339972791487672
gap_ml,2022-12,0.0002864133160795705
gap_ml,2023-01,-0.00045113899360125907
gap_ml,2023-02,-0.0017305219288263915
gap_ml,2023-03,-0.0005722307392591034
gap_ml,2023-05,0.00021261368119934601
gap_ml,2023-06,-0.000729823195450772
gap_ml,2023-08,0.0006764396842933706
gap_ml,2023-10,-0.000585825236443788
gap_ml,2024-01,0.0017236873946334269
gap_ml,2024-02,0.0018066349730593405
gap_ml,2024-04,-0.0013355039193807044
gap_ml,2024-06,-0.003895
gap_ml,2024-10,-0.0009229586197082224
gap_ml,2024-11,-0.001093700882134967
gap_ml,2024-12,0.001036807939979472
gap_ml,2025-03,0.00092262385221749
gap_ml,2025-04,0.000640701818638638
gap_ml,2025-11,0.00047097200300829853
gap_ml,2026-02,0.000610630807789625
gap_ml,2026-03,0.000549853075142048
intraday_momentum,2017-04,-0.0012019676279498275
intraday_momentum,2017-05,-0.015280248012656206
intraday_momentum,2017-06,-0.005794631962566051
intraday_momentum,2017-07,-0.012370673632175335
intraday_momentum,2017-09,-0.0014209065589501034
intraday_momentum,2017-10,-0.002889721277312716
intraday_momentum,2017-11,-0.000336115712901114
intraday_momentum,2017-12,-0.0016498552592958495
intraday_momentum,2018-01,0.0004920898127265945
intraday_momentum,2018-02,-0.003916824305065304
intraday_momentum,2018-03,-0.00014249999999999983
intraday_momentum,2018-04,-0.0020016897321588067
intraday_momentum,2018-05,-0.02460730897253792
intraday_momentum,2018-06,-0.011069379965821531
intraday_momentum,2018-07,-0.016298041911238778
intraday_momentum,2019-02,-0.009497167760373463
intraday_momentum,2019-03,-0.0015598635996905096
intraday_momentum,2019-04,-0.006985120349882558
intraday_momentum,2019-05,-0.002074510431928971
intraday_momentum,2019-08,-0.018642366785686607
intraday_momentum,2019-09,-0.01375808630254629
intraday_momentum,2019-10,-0.0033218603529817673
intraday_momentum,2019-11,-0.013675465870747168
intraday_momentum,2020-03,-0.0019475
intraday_momentum,2020-05,0.0022067691313657667
intraday_momentum,2020-06,-0.02648177934584625
intraday_momentum,2020-07,-0.015063164540311818
intraday_momentum,2020-08,-0.0054976835637081545
intraday_momentum,2020-12,0.009949818416502129
intraday_momentum,2021-01,0.003404652389528846
intraday_momentum,2021-02,-0.000531748517074507
intraday_momentum,2021-06,-0.0015290227239767285
intraday_momentum,2021-07,0.0037525
intraday_momentum,2021-08,0.004036393163046452
intraday_momentum,2021-09,-0.011106810417426541
intraday_momentum,2021-10,-0.0015192154848303746
intraday_momentum,2021-11,0.002288645221210198
intraday_momentum,2021-12,-0.03339122243008559
intraday_momentum,2022-01,-0.023882564638728787
intraday_momentum,2022-02,0.004992955537361482
intraday_momentum,2022-03,-0.007504749845909721
intraday_momentum,2022-04,-0.01209883249571337
intraday_momentum,2022-05,0.0014428377467398479
intraday_momentum,2022-06,-0.00735235692834099
intraday_momentum,2022-07,-0.0070211162251870626
intraday_momentum,2022-08,0.0008098823522391749
intraday_momentum,2022-09,-0.0028615820368455523
intraday_momentum,2022-10,0.0011576713993819866
intraday_momentum,2022-11,0.001031722749709888
intraday_momentum,2022-12,0.0021312227519805285
intraday_momentum,2023-01,0.0011628049636245334
intraday_momentum,2023-02,-0.0005231675607335784
intraday_momentum,2023-03,-0.04798364534157527
intraday_momentum,2023-04,-1.2910709849542519e-05
intraday_momentum,2023-05,-0.0249210145635659
intraday_momentum,2023-06,0.0022053473062267886
intraday_momentum,2023-09,0.0024276556262596903
intraday_momentum,2023-10,-0.01328649724803954
intraday_momentum,2023-11,-0.013050430297734108
intraday_momentum,2023-12,0.00485296261465595
intraday_momentum,2024-01,-0.001888011509840794
