k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
6,,,,2.0,134.0,0.005781566729557011,0.005546743788898967,0.5970149253731343,test,25
6,,,,3.0,162.0,0.00439907828533361,-0.0011028638254982348,0.48148148148148145,test,25
6,,,,4.0,3309.0,0.0016905307364016237,0.0009009009009008917,0.5330915684496826,test,25
6,,,,5.0,945.0,0.001841457316114862,0.0,0.4973544973544973,test,25
4,0.18269807366383894,0.0024282403163628616,4.0,,,,,,,26
6,0.22518967627658343,0.0022475737168032132,4.0,,,,,,,26
8,0.1905016052440049,0.003012716720556625,4.0,,,,,,,26
10,0.16540920454045752,0.0017884109984444435,5.0,,,,,,,26
6,,,,0.0,443.0,0.00115091558493963,0.0,0.4966139954853273,validation,26
6,,,,1.0,3604.0,0.0017895694969514468,0.0012153492929131149,0.5410654827968924,validation,26
6,,,,2.0,68.0,0.0016675666613135114,-0.002669442241896691,0.4117647058823529,validation,26
6,,,,3.0,1635.0,0.002055907702852494,0.0006067961165048263,0.5149847094801223,validation,26
6,,,,5.0,234.0,0.003993902082469282,-0.000933585215292243,0.48717948717948717,validation,26
6,,,,0.0,490.0,0.002963798592152742,0.00269359691517268,0.5591836734693878,test,26
6,,,,1.0,3608.0,0.0012540096655233555,0.0007725019155898627,0.5246674057649667,test,26
6,,,,2.0,73.0,0.00861713814128937,0.002954694681549519,0.6712328767123288,test,26
6,,,,3.0,1610.0,0.002119810586930756,0.0006267054935706895,0.522360248447205,test,26
6,,,,5.0,267.0,0.007927108606854576,0.0010379677683693966,0.5168539325842697,test,26
4,0.15546697419740238,0.0040704477847513885,4.0,,,,,,,27
6,0.19346942030263814,0.0035192884578469966,4.0,,,,,,,27
8,0.15948074655520264,0.004321623518800398,6.0,,,,,,,27
10,0.14504908167818736,0.0041760571472656575,6.0,,,,,,,27
6,,,,0.0,284.0,0.007541909075402928,0.0010338639171370012,0.5176056338028169,validation,27
6,,,,1.0,1717.0,0.00199974624256293,0.0006153846153846843,0.5218404193360513,validation,27
6,,,,2.0,460.0,0.0032924158789251873,0.0030445448657479,0.5717391304347826,validation,27
6,,,,3.0,3504.0,0.0012430826344969408,0.000710619070810159,0.5234018264840182,validation,27
6,,,,5.0,83.0,0.008306903363711727,0.00487156775907871,0.6626506024096386,validation,27
6,,,,0.0,344.0,0.0022094008071254284,0.0011724137755616537,0.5145348837209303,test,27
6,,,,1.0,2074.0,0.0027470262056710558,0.0010356591108972024,0.5265188042430087,test,27
6,,,,2.0,725.0,0.004839127538811222,0.006451612903225712,0.6193103448275862,test,27
6,,,,3.0,2784.0,0.0009843159585562408,0.0005103999040151352,0.5140086206896551,test,27
6,,,,5.0,121.0,-0.0016997457655138003,-0.0021659085986571736,0.4132231404958678,test,27
4,0.16516258235219844,0.002876292119818991,4.0,,,,,,,28
6,0.17512730406063434,0.0020315103614861477,5.0,,,,,,,28
8,0.13734755419415806,0.003322426616824695,6.0,,,,,,,28
10,0.1258730841908954,0.004158564580601173,7.0,,,,,,,28
4,,,,0.0,463.0,0.005744268031021627,0.006451612903225712,0.5982721382289417,validation,28
4,,,,1.0,2310.0,0.002463032620399762,0.000990999248709823,0.5268398268398269,validation,28
4,,,,2.0,2768.0,0.0010964969679945712,0.0008686691951012016,0.523121387283237,validation,28
4,,,,3.0,507.0,0.0022013708598600033,0.00026068821689251287,0.5069033530571992,validation,28
4,,,,0.0,424.0,0.009921452182205748,0.005674785650896297,0.6061320754716981,test,28
4,,,,1.0,2264.0,0.0032594039600536266,0.0017093545103079588,0.541077738515901,test,28
4,,,,2.0,2768.0,0.0014832554704599773,0.000827335202408519,0.5216763005780347,test,28
4,,,,3.0,592.0,-0.0008801791292813143,0.002948423359404706,0.5456081081081081,test,28
4,0.1561205606638264,0.004188094918810358,3.0,,,,,,,29
6,0.11811697901036368,0.004716361730669103,5.0,,,,,,,29
8,0.12145049277768985,0.004861412417557778,6.0,,,,,,,29
10,0.1232751900596354,0.006172783033571486,7.0,,,,,,,29
10,,,,0.0,731.0,0.0030949505757820366,0.0014920406607914494,0.5444596443228454,validation,29
10,,,,1.0,1401.0,0.0024162539782165648,0.0007561794035635394,0.5182012847965739,validation,29
10,,,,2.0,1081.0,0.00396644561238744,0.002337055310309033,0.5578168362627197,validation,29
10,,,,3.0,633.0,0.006508649303712444,0.003439803439803324,0.5766192733017378,validation,29
10,,,,4.0,85.0,0.00931725195493573,0.009008206377018269,0.5647058823529412,validation,29
10,,,,6.0,1660.0,0.001184490717275394,0.0003605789097924639,0.5114457831325301,validation,29
10,,,,7.0,112.0,0.02172000956625079,0.02086063006788208,0.7589285714285714,validation,29
10,,,,8.0,177.0,-0.027124929882720073,-0.0024701195219122285,0.4632768361581921,validation,29
10,,,,9.0,168.0,0.0043186814813757374,0.0029555393611992997,0.5535714285714286,validation,29
10,,,,0.0,712.0,0.0022395262018523126,0.001288467301216456,0.547752808988764,test,29
10,,,,1.0,1658.0,0.0012637455880377317,0.000609100184799316,0.5247285886610374,test,29
10,,,,2.0,718.0,0.0025193706376013723,0.0017230834372611303,0.541782729805014,test,29
10,,,,3.0,527.0,0.002008007849363578,-0.00023413720440179642,0.4857685009487666,test,29
10,,,,4.0,30.0,0.005199638493299385,0.0003225273050437849,0.5333333333333333,test,29
10,,,,6.0,2081.0,0.0008669168215291575,0.0004070832485243425,0.5132148005766458,test,29
10,,,,7.0,63.0,0.007710009832682598,0.005193499748701758,0.5714285714285714,test,29
10,,,,8.0,56.0,0.0026090343052220443,-0.0010362317843820024,0.44642857142857145,test,29
10,,,,9.0,203.0,-0.005167837341955221,-0.0018188432157147938,0.458128078817734,test,29
4,0.1998532972965803,0.001635285799622552,4.0,,,,,,,30
6,0.2152744389226399,0.0021202983485416054,4.0,,,,,,,30
8,0.14807692886496945,0.0020183023288401717,4.0,,,,,,,30
10,0.14677920417290816,0.0022417170769382455,5.0,,,,,,,30
6,,,,0.0,833.0,0.002597029917699112,0.0016959352262158056,0.5498199279711885,validation,30
6,,,,1.0,1462.0,0.0016436336627741318,6.192225196399725e-05,0.5020519835841313,validation,30
6,,,,2.0,2.0,-0.008222887213187258,-0.008222887213187258,0.0,validation,30
6,,,,3.0,139.0,0.002940589495946614,-0.0020157068062828243,0.43884892086330934,validation,30
6,,,,4.0,3359.0,0.0012999403177465644,0.0007586832219979023,0.5284310806787734,validation,30
6,,,,5.0,253.0,-0.004843258156547719,-0.0018572351421188849,0.45454545454545453,validation,30
6,,,,0.0,1226.0,-0.0009246416456737856,-0.0014165219927784745,0.4706362153344209,test,30
6,,,,1.0,1175.0,-0.0005556808130937037,-0.001783590963139181,0.4408510638297872,test,30
6,,,,2.0,16.0,-0.021926573978975045,-0.019382677493887557,0.3125,test,30
6,,,,3.0,139.0,0.0018923900235754097,6.7476838574442866e-06,0.5035971223021583,test,30
6,,,,4.0,3188.0,-0.0019065223003521092,-0.0016643551904798048,0.4413425345043915,test,30
6,,,,5.0,331.0,-0.006230363492118119,-0.0056373316630128345,0.3293051359516616,test,30
4,0.192326217262559,0.0010571040454987154,1.0,,,,,,,31
6,0.13568704331225673,0.0008062971942415147,1.0,,,,,,,31
8,0.13963656800156354,0.0010270475829261187,1.0,,,,,,,31
10,0.14481909242284038,0.0009800280716874476,1.0,,,,,,,31
4,,,,0.0,162.0,0.0010571040454987154,-0.0004760168267540221,0.48148148148148145,validation,31
4,,,,1.0,3584.0,-0.002471690388427539,-0.0018873657123761323,0.439453125,validation,31
4,,,,2.0,774.0,-7.511170270717017e-05,-0.0017077504453805736,0.4573643410852713,validation,31
4,,,,3.0,1555.0,-0.0008161659409212514,-0.0019102196752626144,0.4366559485530547,validation,31
4,,,,0.0,209.0,0.0013588441835045023,0.0015245193529263013,0.5215311004784688,test,31
4,,,,1.0,3079.0,-0.0014300314956298694,-0.0014873574615764662,0.4546930821695356,test,31
4,,,,2.0,926.0,0.0006070070093650877,0.0007775999511491216,0.5064794816414687,test,31
4,,,,3.0,1897.0,0.0010870850170275656,0.0,0.4965735371639431,test,31
4,0.18363660458885706,0.000982415968243024,3.0,,,,,,,32
6,0.16661473474618382,0.004150018511681806,3.0,,,,,,,32
8,0.12425793371555124,0.0035977300394983923,3.0,,,,,,,32
10,0.12778993915707246,0.0035724695047375534,3.0,,,,,,,32
6,,,,0.0,258.0,0.009374036332740547,0.007185334515371733,0.6046511627906976,validation,32
6,,,,1.0,1413.0,-0.0022162195046853015,-0.0016471397060929815,0.4692144373673036,validation,32
6,,,,3.0,175.0,0.0019304918461135693,0.0013200075429002922,0.5142857142857142,validation,32
6,,,,4.0,2649.0,-0.0011214689570103104,-0.0012355520127540487,0.4571536428841072,validation,32
6,,,,5.0,1616.0,0.001145527356191302,-0.00019121455315129765,0.49504950495049505,validation,32
6,,,,0.0,305.0,0.007586430465878045,0.009985734664764712,0.6819672131147541,test,32
6,,,,1.0,794.0,0.0012248627344879225,0.0018674806171772307,0.5465994962216625,test,32
6,,,,2.0,2.0,-0.008594677094830638,-0.008594677094830638,0.5,test,32
6,,,,3.0,174.0,9.183202154751269e-05,0.0005977137262054288,0.5114942528735632,test,32
6,,,,4.0,3162.0,0.0009014086221381354,0.0009391330231738326,0.528146742567995,test,32
6,,,,5.0,1674.0,0.0022307467988605433,0.0010092189711597976,0.5370370370370371,test,32
4,0.18808074813991832,0.0018691356277710013,4.0,,,,,,,33
6,0.16889286112015975,0.003437067633906398,6.0,,,,,,,33
8,0.15779353394970308,0.0025177490429775535,6.0,,,,,,,33
10,0.12859693374270145,0.002572685507032141,7.0,,,,,,,33
6,,,,0.0,2829.0,0.0009811146725158108,0.001119542231620807,0.5341109932838459,validation,33
6,,,,1.0,241.0,0.0011665949132203953,0.0013948946854511757,0.5269709543568465,validation,33
6,,,,2.0,784.0,0.0015463531006262546,0.00202950239462385,0.5573979591836735,validation,33
6,,,,3.0,149.0,0.007043733061629187,0.0046885465505692725,0.6040268456375839,validation,33
6,,,,4.0,1975.0,0.0017570482889509556,0.0007299270072993469,0.5240506329113924,validation,33
6,,,,5.0,133.0,0.008127561766495787,0.013428287981859466,0.7593984962406015,validation,33
6,,,,0.0,3824.0,3.224862718605136e-05,-0.0005021008403360838,0.47855648535564854,test,33
6,,,,1.0,119.0,-0.0004802920347057283,-0.0009124087591240171,0.4369747899159664,test,33
6,,,,2.0,641.0,0.00036106146065094955,0.00015738117721131317,0.5039001560062403,test,33
6,,,,3.0,51.0,0.00878608184843775,0.00591715976331364,0.6274509803921569,test,33
6,,,,4.0,1503.0,8.73943758933684e-05,-0.0009689922480620172,0.45708582834331335,test,33
6,,,,5.0,26.0,0.0008390475155286398,-0.0006156317996443006,0.46153846153846156,test,33
4,0.27604267653148695,0.0012126633810775444,2.0,,,,,,,34
6,0.20790712656187416,9.84325075257773e-05,2.0,,,,,,,34
8,0.19760654205729972,0.0007158100336977961,3.0,,,,,,,34
10,0.1818751135724331,0.000618223448244686,5.0,,,,,,,34
4,,,,0.0,4776.0,-6.220076471696414e-05,-0.0007602281368821462,0.46984924623115576,validation,34
4,,,,1.0,1015.0,0.0006835981621469091,0.00043122035360054767,0.5064039408866995,validation,34
4,,,,2.0,346.0,0.0017417286000081798,-0.00024989351043119834,0.4884393063583815,validation,34
4,,,,3.0,27.0,-0.0037242898794511907,-0.0045045045045044585,0.3333333333333333,validation,34
4,,,,0.0,5073.0,0.0006101879423690206,0.0,0.4979302188054406,test,34
4,,,,1.0,803.0,0.0008104240259060139,0.0017241379310344307,0.5541718555417185,test,34
4,,,,2.0,329.0,0.0004421479730432979,-0.0010783256543476227,0.47112462006079026,test,34
4,,,,3.0,24.0,0.0035443189142953017,0.001409072841064729,0.5416666666666666,test,34
