k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
4,,,,2.0,1808.0,-0.0003018427118037184,-0.0005131333712408148,0.48783185840707965,validation,7
4,,,,3.0,165.0,0.000610178458771798,0.0037792894935753107,0.5333333333333333,validation,7
4,,,,0.0,887.0,-0.0017153208870765312,-0.0025729846298873094,0.44532130777903045,test,7
4,,,,1.0,3300.0,-0.00030905752365877255,-9.361348271114123e-05,0.486969696969697,test,7
4,,,,2.0,1359.0,-6.399424209490432e-05,0.0005200208008320217,0.5091979396615158,test,7
4,,,,3.0,56.0,0.009271534442133843,0.012242456541291746,0.6071428571428571,test,7
4,0.23805728399078835,8.475458340533628e-05,1.0,,,,,,,8
6,0.13815401665655505,0.000321025162878601,1.0,,,,,,,8
8,0.14148163445645287,0.001784125904255339,2.0,,,,,,,8
10,0.1354654594979729,0.002875551797978029,2.0,,,,,,,8
4,,,,0.0,1205.0,8.475458340533628e-05,0.0008460236886631556,0.5145228215767634,validation,8
4,,,,1.0,3469.0,-0.0003892460706487051,-0.00020639834881319707,0.4851542231190545,validation,8
4,,,,2.0,61.0,0.007921884638904971,0.009623361539737862,0.5737704918032787,validation,8
4,,,,3.0,867.0,-0.0015504167451610006,-0.0025316455696202667,0.44982698961937717,validation,8
4,,,,0.0,1119.0,0.0026390009348712614,0.0027792252909499826,0.5495978552278821,test,8
4,,,,1.0,3563.0,0.0015077897620242768,0.0001431844215349365,0.5021049677238283,test,8
4,,,,2.0,46.0,0.005441007412077894,-0.004266311604777695,0.45652173913043476,test,8
4,,,,3.0,874.0,0.0011840331427465768,-0.001319619101852354,0.459954233409611,test,8
4,0.2284758801275621,0.001824017247877375,3.0,,,,,,,9
6,0.13794817503748547,0.002198830572490207,5.0,,,,,,,9
8,0.1390929848745063,0.002428141020275647,5.0,,,,,,,9
10,0.14525139941137044,0.002655404766715067,6.0,,,,,,,9
4,,,,0.0,83.0,0.0013955089555689592,-0.00576764625102999,0.42168674698795183,validation,9
4,,,,1.0,845.0,0.001346603976601321,-0.0011223344556676729,0.46272189349112425,validation,9
4,,,,2.0,3473.0,0.0014973846409265822,8.332824105172776e-06,0.5001439677512237,validation,9
4,,,,3.0,1201.0,0.002628063126104222,0.0027792252909499826,0.5528726061615321,validation,9
4,,,,0.0,105.0,0.0014413256264564044,-0.002918642831083562,0.41904761904761906,test,9
4,,,,1.0,919.0,-0.003403141975044798,-0.0036730945821854544,0.40805223068552776,test,9
