strategy,trades,win_rate,profit_factor,total_return,sharpe,max_drawdown,expectancy
gap_ml,357,0.49859943977591037,1.062642632758414,0.007817231212101428,3.0178591744989447,-0.01290794431219644,2.234933054511419e-05
opening_range_reversal,3651,0.4741166803615448,0.9110231079290123,-0.09523315001067145,-4.511150648468698,-0.10382559564406069,-2.7057411089868494e-05
volatility_expansion,8976,0.4143270944741533,0.7680558319300286,-0.5112732043648414,-12.825929486119641,-0.515884435593834,-7.93834264024037e-05
intraday_momentum,3875,0.3896774193548387,0.7463541817290084,-0.3546974766086495,-15.082275760434097,-0.35516252219701694,-0.00011248890445096982
ml_ranker,1636,0.41075794621026895,0.7158002456783638,-0.1295598322305873,-16.93158906463581,-0.13219389056811148,-8.456577453245095e-05
ml_direction,85,0.3764705882352941,0.6606907815427793,-0.014524154116383858,-21.0278868929377,-0.02187872744320507,-0.0001714651518564021
vwap_reversion,3238,0.40086473131562694,0.6222250579899554,-0.3905595331441146,-23.366129523982078,-0.391630113278022,-0.000152508096767047
opening_range_breakout,206,0.34951456310679613,0.5324455339547435,-0.02915150808228295,-34.26912393071134,-0.03004991784352007,-0.0001434341557740464
